Episode 1, Last State: [45. 16.  3.], Reward: 218.49913483985765Episode 2, Last State: [20. 38.  8.], Reward: 559.3360964713884Episode 3, Last State: [16. 42. 21.], Reward: 1276.455266669138Episode 4, Last State: [ 4. 27. 42.], Reward: 777.9968593830156Episode 5, Last State: [ 7. 30. 18.], Reward: 1398.283208484008Episode 6, Last State: [ 6. 12.  4.], Reward: 364.0397573340871Episode 7, Last State: [ 1. 35. 30.], Reward: 203.24703345006242Episode 8, Last State: [ 4. 38. 50.], Reward: 706.6171322742013Episode 9, Last State: [ 9. 39. 48.], Reward: 1346.9988210892216Episode 10, Last State: [15. 45. 39.], Reward: 1130.6005231881077Episode 11, Last State: [16. 36. 64.], Reward: 1050.1579652304445Episode 12, Last State: [32. 37. 49.], Reward: 973.132141184084Episode 13, Last State: [24. 31. 65.], Reward: 1007.3026295597691Episode 14, Last State: [10. 37. 71.], Reward: 974.578385889082Episode 15, Last State: [32. 40. 49.], Reward: 953.7279736528617Episode 16, Last State: [27. 41. 74.], Reward: 882.5925598997699Episode 1, Last State: [3. 6. 4.], Reward: 536.3456900572298
Episode 2, Last State: [1. 9. 2.], Reward: 194.48018947644837
Episode 3, Last State: [11.  7. 18.], Reward: 1782.816014843117
Episode 4, Last State: [ 1. 13.  8.], Reward: 327.1891050969673
Episode 5, Last State: [1. 1. 5.], Reward: 253.08186951713384
Episode 6, Last State: [ 5.  3. 21.], Reward: 564.2558737005902
Episode 7, Last State: [ 2.  2. 19.], Reward: 439.3692937060879
Episode 8, Last State: [ 2.  4. 29.], Reward: 638.3146929367986
Episode 9, Last State: [ 1.  8. 26.], Reward: 243.14374985122976
Episode 10, Last State: [ 1.  3. 23.], Reward: 255.68448406620246
Episode 11, Last State: [ 1. 10. 36.], Reward: 229.09406976856863
Episode 12, Last State: [ 1.  1. 12.], Reward: 230.7025733145727
Episode 13, Last State: [1. 2. 6.], Reward: 375.4064861352949
Episode 14, Last State: [ 3.  2. 15.], Reward: 538.3188438598639
Episode 15, Last State: [ 1.  3. 11.], Reward: 272.69502610038154
Episode 16, Last State: [ 1.  5. 14.], Reward: 264.3971551568622
Episode 17, Last State: [1. 2. 4.], Reward: 333.6635503578525
Episode 18, Last State: [1. 3. 5.], Reward: 282.84170170730755
Episode 19, Last State: [ 1.  2. 12.], Reward: 360.4849043604038
Episode 20, Last State: [ 1.  2. 16.], Reward: 266.9986459724306
Episode 21, Last State: [1. 2. 8.], Reward: 279.5029766767352
Episode 22, Last State: [ 1.  1. 13.], Reward: 229.54377139438165
Episode 23, Last State: [ 1.  2. 12.], Reward: 273.0033221124229
Episode 24, Last State: [1. 1. 7.], Reward: 258.62169145407984
Episode 25, Last State: [1. 1. 4.], Reward: 263.95042686195984
Episode 26, Last State: [1. 1. 4.], Reward: 240.85462585684314
Episode 27, Last State: [3. 1. 6.], Reward: 542.6946754411651
Episode 28, Last State: [1. 1. 6.], Reward: 358.0390373197075
Episode 29, Last State: [1. 1. 5.], Reward: 239.49604322792197
Episode 30, Last State: [1. 3. 1.], Reward: 250.14151684592565
Episode 31, Last State: [2. 3. 2.], Reward: 471.5333808735322
Episode 32, Last State: [1. 2. 7.], Reward: 455.49722166016454
Episode 33, Last State: [1. 2. 8.], Reward: 370.2343862068723
Episode 34, Last State: [1. 1. 4.], Reward: 240.85462585684314
Episode 35, Last State: [1. 2. 2.], Reward: 309.493252626105
Episode 36, Last State: [1. 1. 3.], Reward: 242.2405820610959
Episode 37, Last State: [1. 2. 5.], Reward: 331.398751066973
Episode 38, Last State: [1. 3. 3.], Reward: 409.00149607183835
Episode 39, Last State: [1. 1. 5.], Reward: 330.06821848903076
Episode 40, Last State: [1. 1. 1.], Reward: 205.88029413823506
Episode 41, Last State: [ 1.  2. 11.], Reward: 318.7154065583154
Episode 42, Last State: [ 1.  1. 10.], Reward: 233.09241901754473
Episode 43, Last State: [2. 1. 5.], Reward: 333.68964185325825
Episode 44, Last State: [ 1.  1. 18.], Reward: 241.58178148831774
Episode 45, Last State: [ 1.  2. 31.], Reward: 323.3981943284069
Episode 46, Last State: [1. 1. 9.], Reward: 255.2412339845225
Episode 47, Last State: [ 1.  1. 24.], Reward: 233.73807122272754
Episode 48, Last State: [ 1.  1. 12.], Reward: 230.70330858663203
Episode 49, Last State: [ 1.  6. 24.], Reward: 249.00601263894103
Episode 50, Last State: [ 1.  4. 30.], Reward: 245.62839090329084
Episode 51, Last State: [ 1.  2. 35.], Reward: 280.6863586319728
Episode 52, Last State: [ 1.  2. 22.], Reward: 299.0376029560993
Episode 53, Last State: [ 1.  3. 21.], Reward: 258.2464483540629
Episode 54, Last State: [ 1.  1. 34.], Reward: 222.56885068367535
Episode 55, Last State: [ 1.  2. 25.], Reward: 255.1072705675663
Episode 56, Last State: [ 1.  1. 17.], Reward: 242.98208623520424
Episode 57, Last State: [ 1.  2. 17.], Reward: 265.5703351306064
Episode 58, Last State: [ 1.  5. 36.], Reward: 237.63223538240493
Episode 59, Last State: [ 1.  1. 33.], Reward: 223.58889681446897
Episode 60, Last State: [1. 1. 7.], Reward: 236.85753699236702
Episode 61, Last State: [ 1.  2. 22.], Reward: 258.8380498121105
Episode 62, Last State: [ 1.  2. 16.], Reward: 309.2383481564994
Episode 63, Last State: [ 1.  2. 26.], Reward: 253.9121239493669
Episode 64, Last State: [ 1.  3. 24.], Reward: 254.44105352462782
Episode 65, Last State: [ 1.  1. 41.], Reward: 215.96712123490067
Episode 66, Last State: [ 1.  4. 25.], Reward: 251.37433159873163
Episode 67, Last State: [ 1.  1. 34.], Reward: 222.56885068367535
Episode 68, Last State: [ 1.  2. 18.], Reward: 264.1700303837199
Episode 69, Last State: [ 1.  1. 19.], Reward: 240.2089336972526
Episode 70, Last State: [ 1.  1. 25.], Reward: 232.51902167216414
Episode 71, Last State: [ 1.  2. 27.], Reward: 252.74041157858318
Episode 72, Last State: [ 1.  1. 24.], Reward: 233.73807122272754
Episode 73, Last State: [ 1.  1. 29.], Reward: 227.87721171337793
Episode 74, Last State: [ 1.  1. 22.], Reward: 220.07935436139775
Episode 75, Last State: [ 1.  1. 21.], Reward: 237.54346605216261
Episode 76, Last State: [ 1.  1. 26.], Reward: 231.32387505396474
Episode 77, Last State: [ 1.  1. 13.], Reward: 229.54377139438165
